rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
0.00,236.75,0.22,-0.00,0.25,0.89,49.98,35.50
0.00,236.79,0.22,-0.00,0.26,0.84,49.99,34.93
0.00,236.81,0.22,-0.00,0.26,0.86,49.99,35.22
0.00,236.74,0.21,-0.01,0.25,0.87,49.98,34.93
0.00,236.54,0.22,0.00,0.25,0.87,49.97,35.22
0.00,236.60,0.22,-0.01,0.26,0.87,49.98,35.22
0.00,236.59,0.21,-0.01,0.25,0.85,49.98,35.22
0.00,236.71,0.22,0.00,0.25,0.86,49.97,35.50
0.00,236.49,0.22,-0.01,0.26,0.85,49.97,35.22
0.00,236.46,0.22,-0.01,0.25,0.85,49.97,35.79
0.00,236.48,0.22,-0.01,0.26,0.82,49.96,35.79
0.00,236.47,0.22,0.00,0.26,0.85,49.96,35.22
0.00,236.47,0.23,-0.01,0.26,0.85,49.96,35.22
0.00,236.51,0.22,0.00,0.25,0.85,49.95,35.50
0.00,236.51,0.22,0.00,0.26,0.87,49.95,35.50
0.00,236.53,0.22,-0.01,0.25,0.85,49.95,34.93
0.00,236.66,0.22,-0.00,0.25,0.87,49.96,35.50
0.00,236.38,0.22,-0.00,0.25,0.87,49.96,35.79
0.00,236.57,0.22,-0.01,0.25,0.87,49.96,35.79
0.00,236.60,0.22,0.00,0.26,0.89,49.98,35.50
0.00,236.51,0.22,-0.00,0.25,0.85,49.98,34.93
0.00,236.52,0.22,-0.02,0.25,0.85,49.98,34.93
0.00,236.55,0.21,-0.01,0.25,0.87,49.99,34.93
0.00,236.30,0.21,0.00,0.25,0.87,50.00,34.93
0.00,236.13,0.22,-0.00,0.25,0.89,49.99,35.22
0.00,235.99,0.21,-0.00,0.25,0.89,49.99,35.50
0.00,236.16,0.22,-0.01,0.25,0.87,50.00,35.50
0.00,236.16,0.22,0.00,0.25,0.86,50.01,34.93
0.00,236.34,0.22,-0.01,0.25,0.89,50.02,35.79
0.00,236.39,0.22,-0.01,0.25,0.87,50.02,35.22
0.00,236.37,0.22,-0.00,0.26,0.86,50.02,35.50
0.00,236.37,0.22,-0.00,0.25,0.87,50.03,35.50
0.00,236.40,0.21,0.00,0.25,0.89,50.03,35.22
0.00,236.33,0.21,0.00,0.26,0.89,50.03,34.93
0.00,236.45,0.22,-0.00,0.26,0.83,50.03,34.93
0.00,236.43,0.22,-0.00,0.26,0.86,50.03,35.79
0.00,236.37,0.22,0.00,0.26,0.83,50.03,34.93
0.00,236.45,0.22,0.00,0.25,0.89,50.03,35.22
0.00,236.38,0.22,-0.01,0.26,0.88,50.04,35.50
0.00,236.47,0.22,-0.00,0.26,0.86,50.05,34.93
0.00,236.39,0.22,-0.00,0.26,0.85,50.04,34.93
0.00,236.23,0.22,-0.00,0.25,0.84,50.05,34.65
0.00,236.30,0.22,0.00,0.25,0.87,50.05,34.93
0.00,236.17,0.22,0.00,0.26,0.87,50.05,35.22
0.00,236.14,0.22,0.01,0.26,0.85,50.04,34.93
0.00,236.42,0.22,-0.01,0.25,0.85,50.05,35.50
0.00,236.50,0.22,-0.00,0.26,0.89,50.05,35.50
0.00,236.37,0.21,0.00,0.25,0.83,50.05,35.79
0.00,236.41,0.21,-0.00,0.25,0.87,50.04,35.79
0.00,236.21,0.22,0.00,0.26,0.86,50.04,35.50
0.00,236.32,0.22,-0.00,0.26,0.86,50.06,35.50
0.00,236.08,0.21,0.00,0.25,0.85,50.04,35.50
0.00,235.09,0.21,0.00,0.25,0.86,50.04,35.50
0.00,235.47,0.22,-0.01,0.26,0.88,50.04,35.79
0.00,235.46,0.21,-0.00,0.25,0.84,50.04,35.22
0.00,235.34,0.21,0.00,0.25,0.86,50.04,36.07
0.00,235.24,0.21,-0.00,0.26,0.82,50.03,35.79
0.00,235.17,0.22,0.00,0.25,0.87,50.04,34.93
0.00,235.27,0.22,0.00,0.25,0.87,50.04,34.93
0.00,235.29,0.21,-0.00,0.25,0.87,50.03,35.50
0.00,235.18,0.22,-0.00,0.25,0.86,50.03,34.65
0.00,235.16,0.21,-0.00,0.25,0.87,50.03,35.50
0.00,235.33,0.21,-0.01,0.25,0.85,50.04,35.22
0.00,235.26,0.21,-0.00,0.25,0.88,50.04,35.79
0.00,235.28,0.22,0.00,0.25,0.88,50.03,34.93
0.00,235.21,0.20,0.00,0.25,0.85,50.03,35.50
0.00,235.35,0.21,-0.00,0.25,0.88,50.03,35.22
0.00,235.26,0.21,-0.01,0.25,0.89,50.02,35.50
0.00,235.56,0.21,-0.00,0.25,0.87,50.02,35.50
0.00,235.62,0.22,0.00,0.25,0.87,50.02,35.50
0.00,235.47,0.21,-0.00,0.25,0.87,50.01,34.93
0.00,235.42,0.21,-0.01,0.25,0.85,50.01,35.22
0.00,235.46,0.22,0.00,0.25,0.87,50.00,35.50
0.00,235.19,0.22,-0.01,0.25,0.85,50.00,35.22
0.00,235.18,0.21,-0.01,0.25,0.88,49.98,35.22
0.00,235.17,0.22,-0.00,0.25,0.87,49.97,35.22
0.00,235.20,0.22,0.00,0.25,0.87,49.97,34.93
0.00,235.26,0.21,-0.00,0.25,0.84,49.96,35.79
0.00,235.28,0.21,0.00,0.25,0.87,49.96,35.79
0.00,235.14,0.21,-0.01,0.25,0.88,49.95,35.22
0.00,234.90,0.22,0.00,0.25,0.87,49.95,34.65
0.00,234.88,0.22,-0.01,0.25,0.85,49.96,35.50
0.00,234.85,0.21,-0.01,0.25,0.87,49.96,35.79
0.00,234.79,0.21,-0.01,0.25,0.88,49.96,35.50
0.00,234.66,0.22,-0.00,0.25,0.85,49.96,35.50
0.00,234.71,0.22,0.00,0.25,0.88,49.96,35.22
0.00,234.82,0.21,-0.01,0.25,0.87,49.96,35.50
0.00,234.87,0.21,-0.00,0.25,0.87,49.97,35.50
0.00,234.91,0.22,-0.01,0.26,0.88,49.97,35.50
0.00,235.23,0.22,-0.01,0.25,0.85,49.97,34.93
0.00,235.21,0.22,-0.01,0.25,0.87,49.98,35.50
0.00,235.22,0.21,-0.00,0.25,0.88,49.97,35.79
0.00,235.09,0.21,-0.01,0.25,0.87,49.99,35.50
0.00,235.07,0.21,-0.00,0.25,0.87,49.98,35.50
0.00,235.15,0.21,-0.00,0.25,0.85,49.98,35.50
