0.05,226.84,9.10,0.00,11.45,0.80,50.03,34.08
0.05,226.98,8.90,0.00,11.35,0.79,50.03,34.08
0.05,226.88,8.64,0.00,11.27,0.77,50.04,34.08
0.05,226.94,8.73,0.00,11.29,0.78,50.03,34.08
0.05,227.34,8.75,0.00,11.33,0.77,50.03,34.65
0.05,227.40,9.00,0.00,11.41,0.78,50.04,34.36
0.05,227.67,9.28,0.00,11.59,0.79,50.03,34.36
0.05,227.75,8.88,0.00,11.46,0.78,50.03,34.08
0.05,227.73,8.91,0.00,11.43,0.77,50.03,33.79
0.05,227.63,8.92,0.00,11.44,0.78,50.02,34.36
0.05,227.65,8.91,0.00,11.43,0.78,50.03,34.08
0.05,227.64,9.08,0.00,11.49,0.79,50.03,33.79
0.05,227.43,9.05,0.00,11.47,0.80,50.03,33.79
0.05,227.33,8.78,0.00,11.36,0.79,50.03,34.08
0.05,227.90,9.00,0.00,11.48,0.79,50.03,34.36
0.05,227.56,8.76,0.00,11.36,0.77,50.03,34.36
0.05,227.47,8.89,0.00,11.38,0.77,50.03,34.08
0.05,228.09,9.17,0.00,11.56,0.79,50.03,34.36
0.05,228.20,8.90,0.00,11.50,0.79,50.04,34.08
0.05,228.16,8.84,0.00,11.46,0.77,50.04,34.36
0.05,227.92,8.97,0.00,11.47,0.78,50.04,34.65
,50.04,34.08
0.05,228.39,9.24,0.00,11.61,0.79,50.03,34.36
0.05,227.52,9.23,0.00,11.56,0.80,50.03,33.79
0.05,227.63,8.82,0.00,11.40,0.78,50.03,34.65
0.05,227.57,9.03,0.00,11.45,0.77,50.03,34.36
0.05,227.49,8.79,0.00,11.36,0.79,50.02,34.65
0.05,227.46,8.67,0.00,11.31,0.78,50.02,34.08
0.05,227.12,8.91,0.00,11.34,0.78,50.02,34.36
0.05,227.07,9.15,0.00,11.49,0.80,50.01,34.08
0.05,227.47,8.83,0.00,11.38,0.79,50.00,34.36
0.05,227.20,8.88,0.00,11.37,0.78,50.00,34.08
0.05,227.29,9.02,0.00,11.42,0.78,49.99,34.65
0.05,227.28,9.10,0.00,11.44,0.78,49.98,34.65
0.05,227.22,9.05,0.00,11.42,0.79,49.98,34.65
0.05,227.15,9.08,0.00,11.44,0.80,49.98,34.65
0.05,227.31,8.64,0.00,11.33,0.78,49.97,34.36
0.05,227.59,9.06,0.00,11.47,0.78,49.97,34.65
0.05,227.33,8.73,0.00,11.34,0.78,49.97,34.65
0.05,227.24,9.03,0.00,11.40,0.77,49.96,34.36
0.05,227.43,9.10,0.00,11.46,0.79,49.96,34.65
0.05,227.33,8.87,0.00,11.37,0.80,49.96,34.65
