rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
0.10,235.56,12.12,0.76,23.29,0.51,50.02,35.50
0.10,235.56,12.79,0.75,24.24,0.52,50.03,35.50
0.11,235.54,13.10,0.82,25.19,0.53,50.03,34.93
0.10,235.57,12.21,0.75,23.50,0.52,50.03,34.93
0.10,235.55,12.57,0.82,24.18,0.52,50.03,34.93
0.11,235.49,13.08,0.88,25.20,0.52,50.03,35.50
0.10,235.45,12.12,0.90,23.65,0.52,50.04,35.22
0.12,235.38,15.47,0.73,28.81,0.54,50.03,34.93
0.12,235.53,14.74,0.72,27.57,0.53,50.04,34.93
0.11,235.55,14.31,0.74,27.04,0.53,50.03,34.93
0.11,235.56,13.47,0.80,25.70,0.53,50.03,35.22
0.11,235.56,13.98,0.74,26.37,0.53,50.03,34.93
0.11,235.50,13.94,0.74,26.38,0.53,50.02,35.22
0.11,235.58,13.26,0.83,25.70,0.53,50.02,34.93
0.10,235.81,12.07,0.80,23.31,0.52,50.02,34.93
0.10,235.53,12.91,0.77,24.58,0.52,50.02,34.93
0.10,235.57,12.42,0.79,23.88,0.52,50.03,35.22
0.10,235.59,12.00,0.78,23.16,0.52,50.02,35.22
0.10,235.51,12.91,0.84,24.65,0.52,50.01,34.93
0.11,235.38,12.79,0.79,24.79,0.53,50.01,35.22
0.10,235.42,12.17,0.77,23.37,0.52,50.01,35.50
0.10,235.39,12.56,0.84,24.25,0.52,50.00,35.22
0.11,235.42,13.12,0.75,25.05,0.52,50.00,35.50
0.10,235.29,11.83,0.79,22.96,0.52,50.00,35.22
0.10,235.23,12.31,0.84,23.84,0.51,49.99,35.50
0.11,235.22,12.92,0.80,24.70,0.52,49.99,35.79
0.10,234.96,11.93,0.88,23.39,0.51,49.98,35.22
0.10,235.09,11.88,0.88,23.13,0.51,49.99,34.93
0.10,235.42,12.39,0.83,23.79,0.52,49.97,34.65
0.10,235.58,11.85,0.92,23.30,0.52,49.97,35.50
0.10,235.56,12.15,0.83,23.23,0.52,49.98,34.93
0.10,235.61,12.01,0.80,23.29,0.52,49.97,35.22
0.09,235.66,11.25,0.83,21.92,0.51,49.97,35.22
0.10,235.62,11.77,0.81,22.81,0.52,49.97,34.93
0.10,235.56,12.20,0.81,23.49,0.52,49.97,35.50
0.09,235.60,11.29,0.81,21.95,0.51,49.97,35.50
0.10,235.67,11.77,0.81,22.64,0.52,49.96,35.50
0.10,235.64,12.30,0.96,24.01,0.52,49.96,35.50
0.10,235.50,11.97,0.84,23.06,0.52,49.96,34.93
0.09,235.46,11.19,0.84,21.83,0.51,49.96,35.50
0.10,235.58,12.03,0.82,22.95,0.51,49.96,34.65
0.10,235.43,11.96,0.80,23.26,0.52,49.96,35.79
0.09,235.43,11.24,0.81,21.83,0.51,49.96,34.93
0.10,235.63,11.77,0.82,22.90,0.51,49.96,34.93
0.10,235.67,12.05,0.80,23.18,0.52,49.95,35.50
0.09,235.82,11.11,0.94,22.13,0.52,49.96,34.93
0.09,235.87,11.64,0.80,22.30,0.51,49.95,35.50
0.10,235.81,12.02,0.88,23.27,0.52,49.94,35.79
0.09,235.73,11.16,0.89,22.16,0.51,49.94,35.22
0.09,235.85,11.49,0.79,21.89,0.51,49.94,35.50
0.10,235.93,11.95,0.79,22.99,0.52,49.94,34.65
0.09,235.91,11.39,0.81,22.26,0.51,49.94,35.22
0.09,235.92,11.11,0.78,21.55,0.51,49.94,35.22
0.10,235.71,11.97,0.96,23.66,0.52,49.93,35.22
0.09,235.86,11.48,0.78,22.26,0.51,49.94,35.22
0.09,235.91,11.00,0.79,21.50,0.51,49.95,35.22
0.10,235.93,11.99,0.78,23.22,0.51,49.95,34.93
0.09,235.97,11.07,0.78,21.65,0.51,49.96,35.22
0.09,235.93,11.27,0.78,21.73,0.51,49.96,34.93
0.10,235.89,11.91,0.89,23.30,0.51,49.97,35.22
0.09,235.95,11.36,0.80,22.14,0.51,49.98,35.50
0.09,235.89,10.99,0.94,21.99,0.51,49.98,34.93
0.10,235.91,11.84,0.77,22.86,0.52,49.98,34.93
0.09,235.90,11.34,0.78,22.05,0.52,49.98,35.50
0.09,235.88,10.52,0.81,20.74,0.51,49.98,34.93
